,유아여성인구수,유아남성인구수,초등학생여성인구수,초등학생남성인구수,중학생여성인구수,중학생남성인구수,고등학생여성인구수,고등학생남성인구수,geometry,미성년총인구,만12세이하총인구
293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"POLYGON ((943400 1948300, 943400 1948400, 943500 1948400, 943500 1948300, 943400 1948300))",0.0,0.0
294,12.0,16.0,11.0,9.0,0.0,7.0,0.0,6.0,"POLYGON ((942500 1949000, 942500 1949100, 942600 1949100, 942600 1949000, 942500 1949000))",61.0,48.0
295,12.0,19.0,12.0,19.0,0.0,0.0,7.0,12.0,"POLYGON ((939600 1952400, 939600 1952500, 939700 1952500, 939700 1952400, 939600 1952400))",81.0,62.0
296,11.0,6.0,9.0,6.0,0.0,0.0,0.0,0.0,"POLYGON ((941500 1949000, 941500 1949100, 941600 1949100, 941600 1949000, 941500 1949000))",32.0,32.0
297,6.0,6.0,8.0,8.0,0.0,0.0,0.0,0.0,"POLYGON ((941600 1948200, 941600 1948300, 941700 1948300, 941700 1948200, 941600 1948200))",28.0,28.0
298,0.0,8.0,11.0,0.0,0.0,0.0,0.0,0.0,"POLYGON ((942500 1949400, 942500 1949500, 942600 1949500, 942600 1949400, 942500 1949400))",19.0,19.0
299,12.0,19.0,9.0,16.0,0.0,6.0,7.0,9.0,"POLYGON ((941900 1952600, 941900 1952700, 942000 1952700, 942000 1952600, 941900 1952600))",78.0,56.0
300,8.0,8.0,8.0,6.0,0.0,0.0,0.0,0.0,"POLYGON ((939100 1953200, 939100 1953300, 939200 1953300, 939200 1953200, 939100 1953200))",30.0,30.0
301,10.0,10.0,8.0,7.0,0.0,0.0,6.0,0.0,"POLYGON ((941300 1949300, 941300 1949400, 941400 1949400, 941400 1949300, 941300 1949300))",41.0,35.0
302,6.0,12.0,11.0,7.0,0.0,6.0,0.0,0.0,"POLYGON ((942000 1951400, 942000 1951500, 942100 1951500, 942100 1951400, 942000 1951400))",42.0,36.0
303,7.0,10.0,12.0,20.0,7.0,8.0,0.0,7.0,"POLYGON ((944300 1950600, 944300 1950700, 944400 1950700, 944400 1950600, 944300 1950600))",71.0,49.0
304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"POLYGON ((942800 1948800, 942800 1948900, 942900 1948900, 942900 1948800, 942800 1948800))",0.0,0.0
305,0.0,0.0,10.0,17.0,10.0,13.0,0.0,7.0,"POLYGON ((940400 1950600, 940400 1950700, 940500 1950700, 940500 1950600, 940400 1950600))",57.0,27.0
306,11.0,11.0,22.0,26.0,16.0,15.0,9.0,10.0,"POLYGON ((944800 1950500, 944800 1950600, 944900 1950600, 944900 1950500, 944800 1950500))",120.0,70.0
307,12.0,8.0,10.0,11.0,0.0,7.0,15.0,10.0,"POLYGON ((941800 1948600, 941800 1948700, 941900 1948700, 941900 1948600, 941800 1948600))",73.0,41.0
308,13.0,22.0,16.0,14.0,13.0,15.0,9.0,10.0,"POLYGON ((939300 1952700, 939300 1952800, 939400 1952800, 939400 1952700, 939300 1952700))",112.0,65.0
309,0.0,7.0,26.0,36.0,16.0,9.0,11.0,7.0,"POLYGON ((940200 1951100, 940200 1951200, 940300 1951200, 940300 1951100, 940200 1951100))",112.0,69.0
310,0.0,10.0,8.0,0.0,0.0,6.0,7.0,0.0,"POLYGON ((942100 1950000, 942100 1950100, 942200 1950100, 942200 1950000, 942100 1950000))",31.0,18.0
311,15.0,12.0,40.0,36.0,20.0,21.0,13.0,10.0,"POLYGON ((940700 1950800, 940700 1950900, 940800 1950900, 940800 1950800, 940700 1950800))",167.0,103.0
312,0.0,0.0,0.0,12.0,6.0,8.0,6.0,0.0,"POLYGON ((940600 1950500, 940600 1950600, 940700 1950600, 940700 1950500, 940600 1950500))",32.0,12.0
313,16.0,20.0,7.0,9.0,7.0,7.0,0.0,8.0,"POLYGON ((942400 1952500, 942400 1952600, 942500 1952600, 942500 1952500, 942400 1952500))",74.0,52.0
314,16.0,16.0,14.0,12.0,0.0,0.0,0.0,0.0,"POLYGON ((940000 1950000, 940000 1950100, 940100 1950100, 940100 1950000, 940000 1950000))",58.0,58.0
315,33.0,33.0,18.0,19.0,0.0,7.0,0.0,0.0,"POLYGON ((939900 1951400, 939900 1951500, 940000 1951500, 940000 1951400, 939900 1951400))",110.0,103.0
316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"POLYGON ((942100 1950100, 942100 1950200, 942200 1950200, 942200 1950100, 942100 1950100))",0.0,0.0
317,15.0,13.0,0.0,7.0,0.0,8.0,6.0,9.0,"POLYGON ((943500 1950300, 943500 1950400, 943600 1950400, 943600 1950300, 943500 1950300))",58.0,35.0
318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"POLYGON ((938700 1952700, 938700 1952800, 938800 1952800, 938800 1952700, 938700 1952700))",0.0,0.0
319,6.0,6.0,0.0,6.0,0.0,0.0,0.0,0.0,"POLYGON ((943400 1950300, 943400 1950400, 943500 1950400, 943500 1950300, 943400 1950300))",18.0,18.0
